episodes,score,discounted_score
69000,4.0690,0.5987
69100,4.1090,0.5960
69200,4.3090,0.5829
69300,4.1890,0.5908
69400,4.0360,0.5719
69500,4.4180,0.5661
69600,3.6650,0.5867
69700,4.0690,0.5987
69800,4.0580,0.5897
69900,3.9090,0.6092
70000,4.1090,0.5960
70100,4.1380,0.5845
70200,4.2290,0.5881
70300,4.2980,0.5740
70400,3.7850,0.5788
70500,3.8870,0.5913
70600,3.9560,0.5772
70700,3.8180,0.6055
70800,3.8070,0.5966
70900,3.9450,0.5683
71000,3.7780,0.6081
71100,4.0980,0.5871
71200,4.1200,0.6049
71300,3.6690,0.6249
71400,4.0760,0.5693
71500,4.1090,0.5960
71600,3.8870,0.5913
71700,4.2870,0.5651
71800,4.1780,0.5819
71900,4.1780,0.5819
72000,4.0070,0.5835
72100,4.1670,0.5729
72200,4.0580,0.5897
72300,4.2980,0.5740
72400,3.8430,0.5557
72500,3.8760,0.5824
72600,4.3380,0.5713
72700,3.8580,0.6029
72800,3.9160,0.5798
72900,4.1270,0.5756
73000,3.9670,0.5861
73100,3.7670,0.5992
73200,4.0360,0.5719
73300,4.0000,0.6128
73400,3.9380,0.5976
73500,3.7560,0.5903
73600,4.4800,0.5813
73700,3.6980,0.6134
73800,4.0580,0.5897
73900,4.1490,0.5934
74000,4.3200,0.5918
74100,3.8870,0.5913
74200,3.8980,0.6003
74300,4.3090,0.5829
74400,3.9890,0.6039
74500,4.1890,0.5908
74600,4.0070,0.5835
74700,3.6470,0.6071
74800,3.9600,0.6155
74900,4.1090,0.5960
75000,3.9890,0.6039
75100,3.9380,0.5976
75200,4.0580,0.5897
75300,3.8760,0.5824
75400,4.0290,0.6013
75500,4.1380,0.5845
75600,3.8070,0.5966
75700,4.0000,0.6128
75800,4.2580,0.5766
75900,3.4760,0.6087
76000,4.0690,0.5987
76100,3.9380,0.5976
76200,3.8690,0.6118
76300,4.0980,0.5871
76400,4.1780,0.5819
76500,3.7850,0.5788
76600,4.0870,0.5782
76700,4.1600,0.6023
76800,3.9670,0.5861
76900,4.2400,0.5970
77000,4.1380,0.5845
77100,3.8580,0.6029
77200,3.9670,0.5861
77300,3.9670,0.5861
77400,3.5850,0.5919
77500,4.0690,0.5987
77600,3.5670,0.6124
77700,4.1490,0.5934
77800,4.1090,0.5960
77900,3.9200,0.6181
78000,3.6690,0.6249
78100,4.0290,0.6013
78200,3.9230,0.5505
78300,4.0580,0.5897
78400,4.1380,0.5845
78500,3.9490,0.6065
78600,3.9490,0.6065
78700,4.1380,0.5845
78800,3.6690,0.6249
78900,3.7960,0.5877
79000,4.0000,0.6128
79100,3.9600,0.6155
79200,4.3090,0.5829
79300,3.9890,0.6039
79400,4.2000,0.5997
79500,4.2800,0.5944
79600,4.1200,0.6049
79700,3.9090,0.6092
79800,3.7780,0.6081
